architecture,source_dataset,target_dataset,matched_five_label_source_diagonal_auroc,matched_five_label_external_auroc,matched_five_label_gap,binary_source_diagonal_auroc,binary_external_auroc,binary_gap,absolute_gap_reduction,gap_direction
resnet1d,ptbxl,cpsc2018,0.988594346189015,0.9254701305954802,0.06312421559353476,0.9906831249028788,0.9614184244511408,0.029264700451738013,0.03385951514179675,reduced
resnet1d,ptbxl,georgia,0.988594346189015,0.9502243232512017,0.03837002293781333,0.9906831249028788,0.9718421052631576,0.01884101963972118,0.01952900329809215,reduced
resnet1d,ptbxl,mimic_iv,0.988594346189015,0.8859306269575719,0.10266371923144313,0.9906831249028788,0.8864079121802955,0.10427521272258333,-0.0016114934911402035,increased
transformer,code_ii,cpsc2018,0.9562028493786608,0.9206789602915462,0.03552388908711468,0.9641308692844625,0.9400694145501508,0.02406145473431165,0.01146243435280303,reduced
transformer,code_ii,georgia,0.9562028493786608,0.9168565901369136,0.03934625924174728,0.9641308692844625,0.9539724310776942,0.010158438206768206,0.029187821034979078,reduced
transformer,code_ii,mimic_iv,0.9562028493786608,0.8793264546912318,0.07687639468742902,0.9641308692844625,0.8462179083001908,0.11791296098427162,-0.0410365662968426,increased
transformer,code_ii,ptbxl,0.9562028493786608,0.9546175707500096,0.00158527862865121,0.9641308692844625,0.958607806176568,0.00552306310789441,-0.0039377844792432,increased
transformer,cpsc2018,code_ii,0.97061022013857,0.8855902613227462,0.0850199588158238,0.9531855359448989,0.8604670828080317,0.09271845313686711,-0.007698494321043303,increased
transformer,cpsc2018,georgia,0.97061022013857,0.89346623704311,0.07714398309546,0.9531855359448989,0.8708020050125314,0.0823835309323675,-0.005239547836907499,increased
transformer,cpsc2018,mimic_iv,0.97061022013857,0.8714128620713602,0.09919735806720986,0.9531855359448989,0.7952028163093737,0.15798271963552513,-0.058785361568315264,increased
transformer,cpsc2018,ptbxl,0.97061022013857,0.9158451747387312,0.05476504539983884,0.9531855359448989,0.8947527548628142,0.058432781082084606,-0.003667735682245765,increased
transformer,georgia,code_ii,0.918349519832927,0.8963460760153807,0.022003443817546264,0.9549248120300752,0.8981459415967119,0.05677887043336327,-0.03477542661581701,increased
