analysis_type,architecture,source_dataset,target_dataset,aggregation,record_count_original,record_count_scored,excluded_all_zero_count,abnormal_prevalence,binary_auroc,five_label_macro_auroc_all_records,five_label_macro_auroc_binary_eligible_records
posthoc_label_collapse_no_retraining,inception_time,cpsc2018,cpsc2018,one_minus_normal,688,496,192,0.8145161290322581,0.975933598794662,0.9788489945677579,0.9862103034106611
posthoc_label_collapse_no_retraining,inception_time,cpsc2018,georgia,max_abnormal,1034,403,631,0.56575682382134,0.9361654135338346,0.8990200655101527,0.9379086995318
posthoc_label_collapse_no_retraining,inception_time,cpsc2018,georgia,noisy_or,1034,403,631,0.56575682382134,0.9467418546365914,0.8990200655101527,0.9379086995318
posthoc_label_collapse_no_retraining,inception_time,cpsc2018,georgia,one_minus_normal,1034,403,631,0.56575682382134,0.9278195488721804,0.8990200655101527,0.9379086995318
posthoc_label_collapse_no_retraining,inception_time,cpsc2018,mimic_iv,max_abnormal,5000,4732,268,0.32967032967032966,0.8514947497332428,0.9048998878039007,0.9112163056615564
posthoc_label_collapse_no_retraining,inception_time,cpsc2018,mimic_iv,noisy_or,5000,4732,268,0.32967032967032966,0.8659346000258674,0.9048998878039007,0.9112163056615564
posthoc_label_collapse_no_retraining,inception_time,cpsc2018,mimic_iv,one_minus_normal,5000,4732,268,0.32967032967032966,0.8190820318815274,0.9048998878039007,0.9112163056615564
posthoc_label_collapse_no_retraining,inception_time,cpsc2018,code_ii,max_abnormal,5000,2321,2679,0.17578629900904783,0.9408004315160461,0.8862442432147162,0.942966258487959
posthoc_label_collapse_no_retraining,inception_time,cpsc2018,code_ii,noisy_or,5000,2321,2679,0.17578629900904783,0.952015620675871,0.8862442432147162,0.942966258487959
posthoc_label_collapse_no_retraining,inception_time,cpsc2018,code_ii,one_minus_normal,5000,2321,2679,0.17578629900904783,0.9380637383024302,0.8862442432147162,0.942966258487959
posthoc_label_collapse_no_retraining,inception_time,georgia,ptbxl,max_abnormal,2198,1267,931,0.24388318863456984,0.9814557701792435,0.9550749947912667,0.9854517698281298
posthoc_label_collapse_no_retraining,inception_time,georgia,ptbxl,noisy_or,2198,1267,931,0.24388318863456984,0.9847984271439284,0.9550749947912667,0.9854517698281298
posthoc_label_collapse_no_retraining,inception_time,georgia,ptbxl,one_minus_normal,2198,1267,931,0.24388318863456984,0.9838863327725641,0.9550749947912667,0.9854517698281298
posthoc_label_collapse_no_retraining,inception_time,georgia,cpsc2018,max_abnormal,688,496,192,0.8145161290322581,0.980157662505381,0.9529593047457547,0.9602210027710107
posthoc_label_collapse_no_retraining,inception_time,georgia,cpsc2018,noisy_or,688,496,192,0.8145161290322581,0.979794446835988,0.9529593047457547,0.9602210027710107
posthoc_label_collapse_no_retraining,inception_time,georgia,cpsc2018,one_minus_normal,688,496,192,0.8145161290322581,0.9669742789496341,0.9529593047457547,0.9602210027710107
posthoc_label_collapse_no_retraining,inception_time,georgia,georgia,max_abnormal,1034,403,631,0.56575682382134,0.9749749373433584,0.9498037958701111,0.9625098678018846
posthoc_label_collapse_no_retraining,inception_time,georgia,georgia,noisy_or,1034,403,631,0.56575682382134,0.9770676691729322,0.9498037958701111,0.9625098678018846
posthoc_label_collapse_no_retraining,inception_time,georgia,georgia,one_minus_normal,1034,403,631,0.56575682382134,0.9743107769423559,0.9498037958701111,0.9625098678018846
posthoc_label_collapse_no_retraining,inception_time,georgia,mimic_iv,max_abnormal,5000,4732,268,0.32967032967032966,0.9130881794225111,0.9151226549162154,0.9252001520143299
posthoc_label_collapse_no_retraining,inception_time,georgia,mimic_iv,noisy_or,5000,4732,268,0.32967032967032966,0.9146019255019886,0.9151226549162154,0.9252001520143299
posthoc_label_collapse_no_retraining,inception_time,georgia,mimic_iv,one_minus_normal,5000,4732,268,0.32967032967032966,0.8079326923076923,0.9151226549162154,0.9252001520143299
posthoc_label_collapse_no_retraining,inception_time,georgia,code_ii,max_abnormal,5000,2321,2679,0.17578629900904783,0.9711763168414256,0.9223935326264746,0.9698739382506899
posthoc_label_collapse_no_retraining,inception_time,georgia,code_ii,noisy_or,5000,2321,2679,0.17578629900904783,0.9727291596199379,0.9223935326264746,0.9698739382506899
posthoc_label_collapse_no_retraining,inception_time,georgia,code_ii,one_minus_normal,5000,2321,2679,0.17578629900904783,0.9519867931490422,0.9223935326264746,0.9698739382506899
posthoc_label_collapse_no_retraining,inception_time,mimic_iv,ptbxl,max_abnormal,2198,1267,931,0.24388318863456984,0.979932234766335,0.8995393313215949,0.951970406215298
posthoc_label_collapse_no_retraining,inception_time,mimic_iv,ptbxl,noisy_or,2198,1267,931,0.24388318863456984,0.9805960367810501,0.8995393313215949,0.951970406215298
posthoc_label_collapse_no_retraining,inception_time,mimic_iv,ptbxl,one_minus_normal,2198,1267,931,0.24388318863456984,0.8837383707967652,0.8995393313215949,0.951970406215298
posthoc_label_collapse_no_retraining,inception_time,mimic_iv,cpsc2018,max_abnormal,688,496,192,0.8145161290322581,0.9737677572105037,0.9043103657366993,0.9141821629443427
posthoc_label_collapse_no_retraining,inception_time,mimic_iv,cpsc2018,noisy_or,688,496,192,0.8145161290322581,0.9743596642272923,0.9043103657366993,0.9141821629443427
posthoc_label_collapse_no_retraining,inception_time,mimic_iv,cpsc2018,one_minus_normal,688,496,192,0.8145161290322581,0.7518429832113646,0.9043103657366993,0.9141821629443427
posthoc_label_collapse_no_retraining,inception_time,mimic_iv,georgia,max_abnormal,1034,403,631,0.56575682382134,0.9668170426065162,0.9038795359953997,0.9423257490995296
posthoc_label_collapse_no_retraining,inception_time,mimic_iv,georgia,noisy_or,1034,403,631,0.56575682382134,0.9690225563909775,0.9038795359953997,0.9423257490995296
posthoc_label_collapse_no_retraining,inception_time,mimic_iv,georgia,one_minus_normal,1034,403,631,0.56575682382134,0.8555388471177945,0.9038795359953997,0.9423257490995296
posthoc_label_collapse_no_retraining,inception_time,mimic_iv,mimic_iv,max_abnormal,5000,4732,268,0.32967032967032966,0.9374291678791995,0.9720844898377262,0.9760808936325752
posthoc_label_collapse_no_retraining,inception_time,mimic_iv,mimic_iv,noisy_or,5000,4732,268,0.32967032967032966,0.9408894331813624,0.9720844898377262,0.9760808936325752
posthoc_label_collapse_no_retraining,inception_time,mimic_iv,mimic_iv,one_minus_normal,5000,4732,268,0.32967032967032966,0.7721433739127622,0.9720844898377262,0.9760808936325752
posthoc_label_collapse_no_retraining,inception_time,mimic_iv,code_ii,max_abnormal,5000,2321,2679,0.17578629900904783,0.979759873107633,0.8964324468309146,0.9279701248535541
posthoc_label_collapse_no_retraining,inception_time,mimic_iv,code_ii,noisy_or,5000,2321,2679,0.17578629900904783,0.9803947193095743,0.8964324468309146,0.9279701248535541
posthoc_label_collapse_no_retraining,inception_time,mimic_iv,code_ii,one_minus_normal,5000,2321,2679,0.17578629900904783,0.7308290540471285,0.8964324468309146,0.9279701248535541
posthoc_label_collapse_no_retraining,inception_time,code_ii,ptbxl,max_abnormal,2198,1267,931,0.24388318863456984,0.9825773084432914,0.9615277262188352,0.9830306171641011
posthoc_label_collapse_no_retraining,inception_time,code_ii,ptbxl,noisy_or,2198,1267,931,0.24388318863456984,0.9835721669335387,0.9615277262188352,0.9830306171641011
posthoc_label_collapse_no_retraining,inception_time,code_ii,ptbxl,one_minus_normal,2198,1267,931,0.24388318863456984,0.9841126673017545,0.9615277262188352,0.9830306171641011
posthoc_label_collapse_no_retraining,inception_time,code_ii,cpsc2018,max_abnormal,688,496,192,0.8145161290322581,0.9611762806715454,0.9416020360992654,0.9468065796334155
posthoc_label_collapse_no_retraining,inception_time,code_ii,cpsc2018,noisy_or,688,496,192,0.8145161290322581,0.9612839001291433,0.9416020360992654,0.9468065796334155
posthoc_label_collapse_no_retraining,inception_time,code_ii,cpsc2018,one_minus_normal,688,496,192,0.8145161290322581,0.9667859448988377,0.9416020360992654,0.9468065796334155
posthoc_label_collapse_no_retraining,inception_time,code_ii,georgia,max_abnormal,1034,403,631,0.56575682382134,0.979298245614035,0.9464033996832635,0.9599633292223212
posthoc_label_collapse_no_retraining,inception_time,code_ii,georgia,noisy_or,1034,403,631,0.56575682382134,0.9804260651629073,0.9464033996832635,0.9599633292223212
posthoc_label_collapse_no_retraining,inception_time,code_ii,georgia,one_minus_normal,1034,403,631,0.56575682382134,0.9681077694235589,0.9464033996832635,0.9599633292223212
posthoc_label_collapse_no_retraining,inception_time,code_ii,mimic_iv,max_abnormal,5000,4732,268,0.32967032967032966,0.8934110970996217,0.8976064031678576,0.9060582379560813
posthoc_label_collapse_no_retraining,inception_time,code_ii,mimic_iv,noisy_or,5000,4732,268,0.32967032967032966,0.8936463284508681,0.8976064031678576,0.9060582379560813
posthoc_label_collapse_no_retraining,inception_time,code_ii,mimic_iv,one_minus_normal,5000,4732,268,0.32967032967032966,0.7959514542309309,0.8976064031678576,0.9060582379560813
posthoc_label_collapse_no_retraining,inception_time,code_ii,code_ii,max_abnormal,5000,2321,2679,0.17578629900904783,0.988248618841159,0.9493424733373604,0.988035139436468
posthoc_label_collapse_no_retraining,inception_time,code_ii,code_ii,noisy_or,5000,2321,2679,0.17578629900904783,0.9890967887416335,0.9493424733373604,0.988035139436468
posthoc_label_collapse_no_retraining,inception_time,code_ii,code_ii,one_minus_normal,5000,2321,2679,0.17578629900904783,0.983130771911483,0.9493424733373604,0.988035139436468
posthoc_label_collapse_no_retraining,resnet1d,ptbxl,ptbxl,max_abnormal,2198,1267,931,0.24388318863456984,0.9906831249028789,0.9742395499969021,0.988594346189015
posthoc_label_collapse_no_retraining,resnet1d,ptbxl,ptbxl,noisy_or,2198,1267,931,0.24388318863456984,0.9910412063968219,0.9742395499969021,0.988594346189015
posthoc_label_collapse_no_retraining,resnet1d,ptbxl,ptbxl,one_minus_normal,2198,1267,931,0.24388318863456984,0.9848474099897979,0.9742395499969021,0.988594346189015
posthoc_label_collapse_no_retraining,resnet1d,ptbxl,cpsc2018,max_abnormal,688,496,192,0.8145161290322581,0.9614184244511408,0.9295961242122918,0.9254701305954802
posthoc_label_collapse_no_retraining,resnet1d,ptbxl,cpsc2018,noisy_or,688,496,192,0.8145161290322581,0.9625753336203186,0.9295961242122918,0.9254701305954802
posthoc_label_collapse_no_retraining,resnet1d,ptbxl,cpsc2018,one_minus_normal,688,496,192,0.8145161290322581,0.963960934136892,0.9295961242122918,0.9254701305954802
posthoc_label_collapse_no_retraining,resnet1d,ptbxl,georgia,max_abnormal,1034,403,631,0.56575682382134,0.9718421052631577,0.9352086797043944,0.9502243232512015
posthoc_label_collapse_no_retraining,resnet1d,ptbxl,georgia,noisy_or,1034,403,631,0.56575682382134,0.9723809523809523,0.9352086797043944,0.9502243232512015
posthoc_label_collapse_no_retraining,resnet1d,ptbxl,georgia,one_minus_normal,1034,403,631,0.56575682382134,0.9515664160401003,0.9352086797043944,0.9502243232512015
